loan_id,stage,loan_ecl,gross_exposure,current_pd_12m,origination_pd_12m,current_lifetime_pd,origination_lifetime_pd,current_ltv,current_dpd,remaining_months_to_legal_maturity,property_state,origination_date,primary_stage_reason,coverage_ratio,Base_scenario_ecl,Downside_scenario_ecl,Upside_scenario_ecl,average_lgd
RM000480,1,27.882941886124282,318139.61,0.0020160460512343606,0.0010243360311079474,0.037617731885651096,0.019283997621195814,57.21935431654676,0.0,228,WA,2015-03-01,No SICR trigger,8.764372938699549e-05,27.30742529002292,32.90795822430336,25.820909565209544,0.04419222358849202
RM000803,1,25.69724089051021,531117.89,0.0024636772861793025,0.0013826627730624125,0.0459824250136841,0.02605853312821127,57.04314058055152,0.0,229,CA,2015-04-01,No SICR trigger,4.8383308817765875e-05,25.167015189498866,30.327023677044984,23.797336939086176,0.02
RM002587,1,24.73560085278043,328969.28,0.0022918876478369233,0.0013442056780731634,0.044122508869688826,0.026106991278134317,52.855975443645086,0.0,236,CA,2015-11-01,No SICR trigger,7.519121801519104e-05,24.22516069211451,29.192552989774832,22.906638889171095,0.03336310150612135
RM003202,1,23.549870517630307,263935.29,0.0014760610618818604,0.0008420254006021171,0.02887184639600382,0.016568414036112533,59.98529318181818,0.0,238,WA,2016-01-01,No SICR trigger,8.922592548207672e-05,23.063617390784685,27.795288687277953,21.807804712779046,0.061478396842764425
RM003093,1,23.353445540982516,249510.43,0.0015629827370745504,0.0008683612220016235,0.030547120593530375,0.01708239233521147,59.8195352681388,0.0,238,WA,2016-01-01,No SICR trigger,9.359707143698368e-05,22.871270769676435,27.563283600700224,21.625972398847555,0.06082716909680576
RM003157,1,22.43806942184999,260255.53,0.0020486903658096913,0.0011864121108883202,0.039693849030139505,0.023172838524621042,52.20694763473054,0.0,237,TN,2015-12-01,No SICR trigger,8.621553371738149e-05,21.974948735590832,26.481735450852984,20.77873386333348,0.042718783800203795
RM003163,1,21.71675028173801,178980.23,0.002101824066300019,0.0011830180109783201,0.0408713350019152,0.023203637605689553,54.95007061403509,0.0,238,NJ,2016-01-01,No SICR trigger,0.000121336028463803,21.268544606607826,25.63022109974759,20.110832177470833,0.05873429281931381
RM002660,1,20.82692314877174,479826.69,0.002206438791103301,0.0014115394759938618,0.04251118464413195,0.02739757449617064,18.0,0.0,236,CA,2015-11-01,No SICR trigger,4.340509517878578e-05,20.39711300046707,24.57981226228143,19.28689090862361,0.02
RM001655,1,19.397702244975733,238498.09,0.002197900623860184,0.0012061326074501318,0.0414716614216839,0.02296427929724043,49.88195346405229,0.0,231,CA,2015-06-01,No SICR trigger,8.133273622851962e-05,18.99737398681705,22.893153939393383,17.96331607608869,0.03763382800188944
RM002065,1,18.871170159881082,357575.96,0.002687885306256411,0.0017469448675366435,0.05113081127149066,0.03352052291871488,33.79289292307692,0.0,234,DC,2015-09-01,No SICR trigger,5.277527650315497e-05,18.48185160914653,22.27066527732915,17.476114393301614,0.02
RM002476,1,18.83444124462975,249663.06,0.00212261165077078,0.0012622446520591443,0.04058822614133917,0.0243284912256736,43.965821886792455,0.0,234,TN,2015-09-01,No SICR trigger,7.543943923714527e-05,18.445718993775344,22.228532948612873,17.44165491855196,0.036098566012495704
RM002890,1,18.48395996107699,315830.84,0.0015320491729873661,0.000783718735936252,0.029703325797413638,0.015300911192324351,70.01176256157636,0.0,236,WA,2015-11-01,No SICR trigger,5.852487350848001e-05,18.10231662889779,21.8160544736523,17.11666440320173,0.038776133334008124
RM003112,1,17.96608102391933,319549.05,0.001497218692575737,0.0008245338421924702,0.029279878330896847,0.016226902164648727,62.81062407862407,0.0,238,TN,2016-01-01,No SICR trigger,5.622323403533614e-05,17.595140262283053,21.204744230984502,16.637121026695166,0.03812828077206107
RM000676,1,17.481718966542463,269963.49,0.0024566065139617257,0.0014144651390700902,0.04565777889854539,0.026535442713057633,40.108861371428574,0.0,228,ME,2015-03-01,No SICR trigger,6.475586371528411e-05,17.120998205964973,20.631419066719207,16.189193556972278,0.026777588629952807
RM003162,1,15.747778525882119,108891.31,0.0018426408471265425,0.001154167556015701,0.03562208362740793,0.022455767688356443,36.562045693430655,0.0,236,LA,2015-11-01,No SICR trigger,0.00014461924028540127,15.422702661656716,18.586076025726467,14.583084757266654,0.07984741129340234
RM001133,1,15.130024554191815,230312.45,0.001657342240044649,0.0008533515435986029,0.03142591565481534,0.016299728253902357,51.93319950980392,0.0,231,GU,2015-06-01,No SICR trigger,6.569347229900864e-05,14.817658722185742,17.857297224811997,14.01090331163005,0.040213109337181495
RM001065,1,14.995016704506664,317956.36,0.0016572424619933903,0.000907593287663569,0.031424052197865926,0.017327230566808294,48.79905764988009,0.0,231,CA,2015-06-01,No SICR trigger,4.716061255861234e-05,14.685440212992738,17.69793807396572,13.885887224520422,0.02889709257108493
RM001619,1,14.859981716640768,263937.11,0.0013224656967426095,0.0006811953439865254,0.02515258028436962,0.0130318194918001,57.8809451754386,0.0,231,CA,2015-06-01,No SICR trigger,5.630122159267702e-05,14.553128831202416,17.539045002262437,13.760662976783253,0.0432591803576091
RM001798,1,14.037725197505276,307738.65,0.0010558760678940984,0.000552300365717062,0.0203034761811014,0.010669467680115008,64.3035985074627,0.0,233,WA,2015-08-01,No SICR trigger,4.561573659176472e-05,13.7477907947891,16.569003018363823,12.999067892321083,0.043887659820663935
RM003438,1,14.012568237444878,140687.94,0.0010942631630677963,0.0006016833891301916,0.022105451861500258,0.012212876336202938,60.29483142857143,0.0,245,PA,2016-08-01,No SICR trigger,9.960035122729693e-05,13.723160622820094,16.539255686220322,12.975792176633187,0.09238354716793003
RM001809,1,13.797415455378385,405348.83,0.0016140070932939008,0.001033854022110885,0.03087720855821885,0.01988403518984183,39.9964689943074,0.0,233,NY,2015-08-01,No SICR trigger,3.4038374935924655e-05,13.512554211303664,16.28453561886632,12.776841945041285,0.021414963434376703
RM001001,1,13.062821221622855,482183.83,0.0013804230590771134,0.0007540323993449492,0.026128960562525116,0.014353727889893975,50.08731257364341,0.0,230,CA,2015-05-01,No SICR trigger,2.7090956620471605e-05,12.793090036974862,15.417796745908877,12.096484119889674,0.02
RM001225,1,12.895997485788062,144297.68,0.0016585529725349393,0.000883867528355894,0.031314540486868436,0.016805471184641152,45.8087873015873,0.0,230,AL,2015-05-01,No SICR trigger,8.937078881509435e-05,12.629780805980323,15.220373429341143,11.942194082557121,0.054736303674830664
RM001980,1,12.667575324795859,357720.36,0.0015506316712971962,0.0009464116554977578,0.029807511408192155,0.018294354756152376,41.99325965217391,0.0,234,CA,2015-09-01,No SICR trigger,3.541194950378519e-05,12.406034149669543,14.9510802107725,11.730556139234526,0.023251571572778396
RM002254,1,12.533780832116232,157436.18,0.0016387409611062131,0.0009284935055625426,0.03160801887940912,0.01802697891681948,51.953939399999996,0.0,235,CA,2015-10-01,No SICR trigger,7.96118200537909e-05,12.275017284771467,14.793052917418816,11.606700484833953,0.049380544002751575
RM001400,1,12.53104648524244,243570.59,0.0015149901612990615,0.0008003085019206481,0.02876388576080713,0.015293947992110368,50.99759228125,0.0,231,MA,2015-06-01,No SICR trigger,5.1447288793127444e-05,12.272312401828785,14.790028469125211,11.60409387611764,0.03446602177276979
RM002273,1,12.22147566644084,136095.29,0.0011132879008908553,0.0005757257363335432,0.021577827594049248,0.011214518955771746,62.21498971428572,0.0,235,WA,2015-10-01,No SICR trigger,8.980087162781929e-05,11.969067437659229,14.425146889380132,11.31724059177627,0.08188334114055888
